id,name,class,governorate,area,lat,lon,opens_at_hh,closes_at_hh,sales_rep_id,registered_on,status_code,phone_last4
1000,Misr Pharmacy - Agami,,Alexandria,Agami,31.106239,29.787046,8,23,1,2025-06-28,0,2783
1001,El Nasr Pharmacy,,,,,,9,23,1,2025-01-26,0,5371
1002,Silver Care Pharmacy - Marg,,Alexandria,Agami,31.114017,29.793742,10,23,1,2024-12-14,0,6311
1003,El Nasr Pharmacy - Obour,,,,,,8,23,1,2024-12-15,0,9829
1004,Nile Care Pharmacy - Zayed,,,,,,9,23,1,2025-06-22,0,7415
1005,Salamtek Pharmacy,,,,,,9,23,1,2025-04-21,0,5559
1006,Blue Wave Pharmacy,,,,,,9,23,1,2025-02-21,0,7701
1007,Alpha Pharma - Zayed,,Alexandria,Agami,31.123659,29.788427,9,23,1,2025-08-01,2,4291
1008,Metro Pharmacy,,Alexandria,Agami,31.125648,29.792715,9,23,1,2025-05-07,1,2707
1009,Sunrise Pharmacy - Agami,,,,,,9,23,1,2024-12-14,0,1459
1010,Better Life Pharmacy - Obour,,Alexandria,Agami,31.102382,29.775457,8,23,1,2025-08-11,0,4393
1011,El Zahraa Pharmacy - Agami,,Alexandria,Agami,31.10912,29.787265,9,1,1,2024-11-11,2,4822
1012,Golden Care Pharmacy - Agami,,Alexandria,Agami,31.102037,29.775939,9,23,1,2025-06-08,0,2048
1013,Metro Pharmacy - Agami,,,,,,8,1,1,2024-11-13,0,8119
1014,Union Pharm - Rehab View,,,,,,10,23,1,2025-06-04,0,8701
1015,Omega Pharmacy - Agami,,Alexandria,Agami,31.103586,29.79877,10,23,1,2025-01-05,0,3591
1016,Al Nozha Pharmacy - Agami,,Alexandria,Agami,31.125505,29.79992,10,2,1,2024-10-31,0,6707
1017,El Zahraa Pharmacy - Maadi,,Alexandria,Agami,31.100003,29.788993,9,23,1,2025-04-19,0,1548
1018,Metro Pharmacy - Agami,,Alexandria,Agami,31.126086,29.805889,8,1,1,2025-01-12,0,5434
1019,Care 24 Seven,,,,,,9,23,1,2024-09-10,1,7404
1020,Omega Pharmacy,,Alexandria,Agami,31.114318,29.791893,10,23,1,2024-12-21,0,4580
1021,El Nasr Pharmacy - Marg,,,,,,8,23,1,2024-09-13,0,6211
1022,El Zahraa Pharmacy - Agami,,,,,,9,1,1,2024-10-09,0,1674
1023,Al Amal Pharmacy,,Alexandria,Agami,31.117704,29.773113,8,23,1,2025-05-23,0,6877
1024,Care 24 Seven,,,,,,9,23,1,2025-01-18,0,9014
1025,Elite Pharmacy,,,,,,9,2,1,2025-01-02,0,2137
1026,Hope Pharmacy - Agami,,Alexandria,Agami,31.119654,29.775779,9,23,1,2024-09-15,0,6013
1027,El Tourath Pharmacy,,Alexandria,Agami,31.108706,29.796623,9,1,1,2024-11-18,0,3749
1028,Health Gate Pharmacy,,Alexandria,Agami,31.097813,29.791968,9,2,1,2025-03-29,0,2480
1029,Al Nozha Pharmacy - Agami,,Alexandria,Agami,31.112929,29.801322,8,23,1,2024-09-06,1,1658
1030,Blue Wave Pharmacy - Asafra,,Alexandria,Asafra,31.248258,29.98711,8,23,2,2025-07-11,0,7258
1031,Omega Pharmacy,,Alexandria,Asafra,31.235517,29.977633,9,23,2,2025-08-28,0,3129
1032,Silver Care Pharmacy,,,,,,8,23,2,2025-01-15,0,2802
1033,Blue Wave Pharmacy - Banha,,,,,,10,1,2,2025-09-10,0,1094
1034,El Shifa Pharmacy,,Alexandria,Asafra,31.227599,29.96938,9,23,2,2025-03-13,0,4407
1035,Al Nozha Pharmacy,,,,,,10,23,2,2025-05-10,0,8199
1036,El Zahraa Pharmacy,,,,,,9,23,2,2025-04-06,0,9134
1037,Star Care Pharmacy,,,,,,9,2,2,2025-03-11,0,3731
1038,Seha First Pharmacy - Asafra,,,,,,8,23,2,2024-11-10,0,6311
1039,Union Pharm - Nozha,,Alexandria,Asafra,31.226041,29.980705,8,2,2,2025-04-15,0,8934
1040,Pharma Plus - Imbaba,,Alexandria,Asafra,31.248863,29.998964,9,23,2,2025-02-24,0,5913
1041,Elite Pharmacy,,,,,,8,1,2,2024-11-02,0,1491
1042,Seha First Pharmacy - Obour,,,,,,9,23,2,2025-05-14,0,6121
1043,Family Pharmacy,,Alexandria,Asafra,31.247413,29.968464,9,23,2,2025-05-13,0,1713
1044,Mira Pharmacy - Maadi,,Alexandria,Asafra,31.238675,29.995424,9,1,2,2025-05-17,0,9789
1045,Hope Pharmacy,,Alexandria,Asafra,31.247146,29.995104,9,23,2,2025-08-05,0,2156
1046,Silver Care Pharmacy - Asafra,,Alexandria,Asafra,31.223304,29.980026,9,23,2,2025-01-12,0,4079
1047,Alpha Pharma,,,,,,9,1,2,2025-02-15,0,9142
1048,Star Care Pharmacy - Square,,,,,,9,23,2,2025-06-20,0,9415
1049,Metro Pharmacy - Oct City,,,,,,9,1,2,2024-11-14,0,3466
1050,Al Amal Pharmacy,,Alexandria,Asafra,31.235828,29.987602,9,23,2,2025-01-13,0,9746
1051,El Shifa Pharmacy - Asafra,,Alexandria,Asafra,31.245242,29.994273,9,23,2,2025-01-08,0,5926
1052,Green Leaf Pharmacy,,,,,,9,23,2,2024-10-04,0,3801
1053,Mira Pharmacy - Asafra,,Alexandria,Asafra,31.245875,29.992535,9,23,2,2025-06-20,0,4803
1054,Silver Care Pharmacy - Obour,,Alexandria,Asafra,31.223714,29.989469,10,23,2,2025-08-13,0,4143
1055,Al Amal Pharmacy,,Alexandria,Asafra,31.245196,29.965968,8,23,2,2025-02-04,0,9645
1056,Alpha Pharma,,,,,,9,1,2,2024-09-04,1,3071
1057,Silver Care Pharmacy,,,,,,9,1,2,2025-06-30,0,1178
1058,City Care Pharmacy - Borg,,Alexandria,Borg El Arab,30.898725,29.620718,9,2,3,2025-03-04,0,3156
1059,Misr Pharmacy,,Alexandria,Borg El Arab,30.914203,29.609787,9,23,3,2024-12-02,1,1150
1060,Dr Medhat Pharmacy - Borg,,Alexandria,Borg El Arab,30.927772,29.624608,8,23,3,2025-03-29,0,8929
1061,Green Leaf Pharmacy,,Alexandria,Borg El Arab,30.913615,29.602512,9,23,3,2025-05-12,0,7054
1062,El Zahraa Pharmacy - Borg,,,,,,9,1,3,2024-10-29,0,2375
1063,Green Leaf Pharmacy,,,,,,9,23,3,2025-05-09,0,1076
1064,Alpha Pharma - Borg,,Alexandria,Borg El Arab,30.92877,29.601463,8,23,3,2024-11-07,0,6822
1065,El Hokama Pharmacy - Haram,,Alexandria,Borg El Arab,30.921261,29.607834,9,23,3,2025-04-27,0,1649
1066,Sunrise Pharmacy - Nozha,,,,,,9,23,3,2025-04-06,2,9264
1067,Salamtek Pharmacy,,,,,,8,1,3,2025-01-24,0,4944
1068,Better Life Pharmacy,,,,,,10,23,3,2025-04-12,0,3178
1069,Ebn Sina Pharmacy - Rehab View,,,,,,9,23,3,2025-02-08,1,9970
1070,Star Care Pharmacy - Square,,,,,,10,23,3,2025-06-30,1,2603
1071,Better Life Pharmacy - Borg,,Alexandria,Borg El Arab,30.90427,29.625232,8,23,3,2025-01-20,0,3972
1072,Nile Care Pharmacy - Helwan,,,,,,9,23,3,2025-08-02,1,6258
1073,Hope Pharmacy - Obour,,Alexandria,Borg El Arab,30.919589,29.633485,10,1,3,2025-03-08,0,9989
1074,Golden Care Pharmacy,,,,,,8,1,3,2024-11-03,0,8757
1075,Angel Pharmacy - Dokki,,Alexandria,Borg El Arab,30.926103,29.605017,9,23,3,2025-09-07,0,4754
1076,Salamtek Pharmacy,,,,,,10,23,3,2024-11-01,0,8521
1077,Golden Care Pharmacy - Haram,,,,,,9,23,3,2025-03-10,0,1538
1078,Salamtek Pharmacy - Imbaba,,Alexandria,Borg El Arab,30.903915,29.603297,9,23,3,2025-08-22,0,1228
1079,Blue Wave Pharmacy - Rehab View,,,,,,9,23,3,2024-09-13,0,5043
1080,Nile Care Pharmacy,,Alexandria,Borg El Arab,30.899205,29.600283,9,2,3,2024-10-19,1,2146
1081,Dr Medhat Pharmacy,,,,,,9,23,3,2025-09-01,0,1242
